frame,x_measure,y_measure,x_front_measure,y_front_measure,x_mid_measure,y_mid_measure,x_mid_est,y_mid_est,vx_mid_est,vy_mid_est
139,35.333536170894,11.1309793759294,34.8535700573182,11.1309114958642,35.0935531141061,11.1309454358968,35.0935531141061,11.1309454358968,-0.0761493165575925,0.0795644135475954
140,35.3321484006722,11.1298587263346,34.8526473912468,11.1304973017627,35.0923978959595,11.1301780140486,35.0917681264015,11.1317334128813,-0.076145113891206,0.0795540338423392
141,35.3225710262884,11.1313049488347,34.8422076886274,11.1327115746301,35.0823893574579,11.1320082617324,35.0850635459964,11.1329388647289,-0.0770633572149305,0.0792344901840461
142,35.3204114345846,11.1326254675104,34.8509491325787,11.1346882672694,35.0856802835817,11.1336568673899,35.0844728233239,11.1343862438125,-0.0760892357873589,0.0786460640247389
143,35.3198281688393,11.138359447462,34.8403233882991,11.1389420846883,35.0800757785692,11.1386507660752,35.080770446034,11.1380375340494,-0.0769947074148735,0.0794453877709999
144,35.3162468668811,11.1439746372996,34.8454508472978,11.1444642536958,35.0808488570895,11.1442194454977,35.0798691840782,11.142912800169,-0.075233579770683,0.0817943033612398
145,35.2635216547597,11.128302512988,34.7908928734162,11.1291415860161,35.0272072640879,11.1287220495021,35.0455921270084,11.1349246619142,-0.116955482209466,0.0677183327628334
146,35.2423807855661,11.1369169960766,34.7697570323755,11.1399118896938,35.0060689089708,11.1384144428852,35.0190149238256,11.1379673234187,-0.151996964215555,0.0689285684158515
147,35.2136348349941,11.1407911879457,34.743256152108,11.1366649599086,34.978445493551,11.1387280739272,34.991247022503,11.1392831424691,-0.191724986437629,0.0672059792275604
148,35.2219979104338,11.1499342556161,34.7419412901044,11.1489625650532,34.9819696002691,11.1494484103346,34.9830011695529,11.1466107718317,-0.195290699363815,0.0770145344533342
149,35.1813616351084,11.1319655224321,34.711429200799,11.1324978781286,34.9463954179537,11.1322317002803,34.9571079473615,11.1382658372117,-0.235637460071505,0.0542880737286047
150,35.1775213832719,11.1402852300524,34.7080842220308,11.1451254558123,34.9428028026513,11.1427053429323,34.9450847515619,11.1417744954481,-0.244843642030312,0.0580434388362217
151,35.1479080763113,11.1452982985709,34.678398006852,11.1445333907992,34.9131530415816,11.144915844685,34.921532503342,11.1444910435358,-0.280571214639031,0.059854666614056
152,35.1439018954265,11.1355166554724,34.6651085985327,11.1499053437365,34.9045052469796,11.1427109996044,34.90719841829,11.144038063724,-0.292577618818984,0.0539384933165703
153,35.1108970992826,11.1475986785581,34.6326832970194,11.1556877196605,34.871790198151,11.1516431991093,34.8807725795853,11.1496098818872,-0.334089727074861,0.0633354762058304
154,35.0878819860666,11.1488645160701,34.6202511887827,11.1511623819808,34.8540665874247,11.1500134490255,34.8595018408626,11.1506107300337,-0.359950363003097,0.0604936461281146
155,35.0700697541441,11.148776523393,34.5925070976915,11.1556977759665,34.8312884259178,11.1522371496798,34.8369367391135,11.1523738178272,-0.387464538400419,0.0598279055346746
156,35.0360128169897,11.1427521676069,34.5600629406046,11.1537751359717,34.7980378787971,11.1482636517893,34.807075089964,11.1503885693524,-0.432332652097574,0.0492780753869757
157,34.9869481002358,11.1511447834454,34.523093445838,11.1561100845106,34.7550207730369,11.153627433978,34.7680958822363,11.1530733424029,-0.498255485412906,0.0520717259782023
158,34.9708668099758,11.1504188438593,34.497902399421,11.1511912938604,34.7343846046984,11.1508050688599,34.740314575171,11.1521953124574,-0.528528352516813,0.0449744461748357
159,34.9365132117957,11.1483371885266,34.4643231367995,11.1544690210826,34.7004181742976,11.1514031048046,34.7081367000871,11.1521980982799,-0.568331095865006,0.0408748393166762
160,34.9090217853916,11.1482881640351,34.4382823325293,11.1598076625064,34.6736520589604,11.1540479132707,34.6790294393693,11.1538795529166,-0.596288143594327,0.0417501462689783
161,34.8770766724877,11.1707401241176,34.3982469214847,11.1696358160199,34.6376617969862,11.1701879700688,34.6450958207149,11.1650238588016,-0.63519356693011,0.0687761475752798
162,34.8261766798971,11.1735961150088,34.3499138009891,11.1793439223811,34.5880452404431,11.1764700186949,34.600453163134,11.1733032374079,-0.700477112751577,0.0854379786010438
163,34.78464665038,11.1690324376626,34.3103070399859,11.1843469345937,34.5474768451829,11.1766896861281,34.5577167237722,11.1765044002929,-0.754586815203768,0.0864170684724847
164,34.7585291667769,11.1584488041643,34.2868406500402,11.1608227208887,34.5226849084086,11.1596357625265,34.5260921230719,11.1664656147124,-0.772654281776372,0.0502003523990434
165,34.7356510707296,11.1845983422425,34.2655149962246,11.1966011719188,34.5005830334771,11.1905997570807,34.500489065462,11.1828360530689,-0.772154586343954,0.0914855431974723
166,34.6903901517032,11.1710210721652,34.2209856734565,11.1812125097313,34.4556879125798,11.1761167909483,34.4622671189513,11.1794939635148,-0.807221042823135,0.0734855796547961
167,34.6387384502425,11.1885492134445,34.1612172760519,11.1980385951512,34.3999778631472,11.1932939042979,34.4121943769143,11.1893727387428,-0.872454287060556,0.0944236602910997
168,34.5868881367392,11.1831816601411,34.1192409979581,11.1919036199996,34.3530645673486,11.1875426400704,34.363435711174,11.1892634100778,-0.92791662471408,0.085221403646638
169,34.5384720517195,11.1781786479286,34.0626453650823,11.1854097604293,34.3005587084009,11.1817942041789,34.3115837666301,11.1853567006948,-0.986947341716046,0.0661469716323879
170,34.5046627510992,11.1858371534323,34.0312709475413,11.1915950171106,34.2679668493203,11.1887160852715,34.2716578273787,11.1883180750457,-1.00672905183677,0.068280098079314
