frame,x_measure,y_measure,x_front_measure,y_front_measure,x_mid_measure,y_mid_measure,x_mid_est,y_mid_est,vx_mid_est,vy_mid_est
58,1.9695446156597,8.16813707566448,2.43920245724916,8.18598244390468,2.20437353645443,8.17705975978458,2.20437353645443,8.17705975978458,2.45035081113405,0.0334361719670741
59,2.05384486414383,8.16964429842139,2.52409370174957,8.18775449944374,2.2889692829467,8.17869939893256,2.28768049247893,8.1784612482965,2.45035941167104,0.0334377612272413
60,2.13443257593433,8.16980813321944,2.60597351346013,8.18823911761172,2.37020304469723,8.17902362541558,2.36990498948366,8.17924001879475,2.4504617556928,0.0333634576495938
61,2.21946828772165,8.16742320354965,2.6816055095355,8.1866478255101,2.45053689862858,8.17703551452988,2.45096560085242,8.17829207678808,2.45011589915666,0.0323497230667081
62,2.30285223773363,8.17245129637128,2.7744909901572,8.19233883416605,2.53867161394542,8.18239506526867,2.53644587535331,8.18126473036654,2.45301706157962,0.0338230700064923
63,2.3744063684698,8.17138450516432,2.85194190935533,8.19389156160773,2.61317413891256,8.18263803338603,2.61506905343714,8.18254746996019,2.4496106327873,0.0339858730550231
64,2.45384085256838,8.17223925798991,2.93100740650066,8.19516321804379,2.69242412953452,8.18370123801685,2.69402990168634,8.18369399002387,2.44596655508342,0.0340023213721638
65,2.54426977062833,8.16944804097503,3.01183176058486,8.19207904948982,2.7780507656066,8.18076354523242,2.77717595462383,8.18224092424222,2.44833444000052,0.0300034421364789
66,2.62313104812828,8.17207169315267,3.09125634573329,8.19416844528571,2.85719369693079,8.18312006921919,2.85779778581824,8.18316405543836,2.44645972200123,0.0298669361379176
67,2.70862727629192,8.18481379393535,3.17792194118149,8.20622307115396,2.9432746087367,8.19551843254465,2.94189693411486,8.19145051845205,2.45122177946469,0.0439280506842736
68,2.79428439826118,8.19025563418045,3.26640406571287,8.20055226388811,3.03034423198703,8.19540394903428,3.02797379857193,8.1945182752409,2.46014957850562,0.0472637772196561
69,2.87765536486754,8.18999969610713,3.35050841540825,8.21020244911237,3.1140818901379,8.20010107260975,3.1126576800229,8.19868226655234,2.4658953414391,0.0529877382901023
70,2.95170811973713,8.19203629750224,3.42580542527219,8.21210620372727,3.18875677250466,8.20207125061475,3.19093598106852,8.2014996359604,2.45660383389108,0.055424935887202
71,3.03558235470739,8.1959295976333,3.51292852437275,8.21544057183273,3.27425543954007,8.20568508473302,3.27378089204669,8.20486432879666,2.45871941004697,0.0590839409667015
72,3.13396773327544,8.18759869857623,3.60512117711512,8.20640928618712,3.36954445519528,8.19700399238168,3.36473759592842,8.20044753824356,2.48093432751815,0.0431695813228783
73,3.20251853688383,8.18613910555046,3.67564301950679,8.2048409481728,3.43908077819531,8.19549002686163,3.44202832437927,8.1977250988798,2.46691006542713,0.0325352319967764
74,3.29518060071135,8.18413779606456,3.76164222910824,8.20356699632801,3.5284114149098,8.19385239619629,3.52699247709567,8.19558083577755,2.47382202348304,0.0241156227870419
75,3.38260411142937,8.1841659148215,3.85192711027043,8.20333745545508,3.6172656108499,8.19375168513829,3.61457577099304,8.19466819964314,2.48717659031752,0.0195652945663408
76,3.46353218929552,8.18265926591677,3.93640102077124,8.20134905764328,3.69996660503338,8.19200416178003,3.6991319817829,8.19315669380557,2.49138464155315,0.013754392687656
77,3.55703996777676,8.18096812353543,4.03130655970561,8.1999646392534,3.79417326374118,8.19046638139441,3.79003904666285,8.1915593708119,2.51249007618726,0.0081746139122693
78,3.64970561818041,8.19171207101922,4.12546006535502,8.21071174292419,3.88758284176772,8.2012119069717,3.88282912387734,8.19795969257886,2.53700395594871,0.0249455697037319
79,3.74056377767276,8.18944363334244,4.20791530734141,8.20814289362996,3.97423954250709,8.1987932634862,3.97189788768304,8.19879284096578,2.54917823983853,0.0249477663911213
80,3.82113850605764,8.18709887332542,4.29180704480324,8.20570603033767,4.05647277543044,8.19640245183154,4.0566399266159,8.19751827989267,2.54830346624773,0.0191081612630979
81,3.9290033488257,8.18729857388487,4.40255549478754,8.20559843305348,4.16577942180662,8.19644850346918,4.15743589723306,8.19703932627786,2.59220242358157,0.0159995822637136
82,4.00296887816357,8.20024295756183,4.47807185964817,8.21784816866372,4.24052036890587,8.20904556311278,4.24169945703279,8.20507728272286,2.58597187044014,0.0369688222085572
83,4.10284526816437,8.19363935357359,4.58127759654785,8.21082335717365,4.34206143235611,8.20223135537362,4.33719403426529,8.203641944029,2.61178226426311,0.0294888815835922
84,4.16680884089021,8.20810415860765,4.63787276378944,8.22570248348336,4.40234080233983,8.21690332104551,4.409945722728,8.21265923999341,2.57134144004339,0.0520577090060636
85,4.25887854580251,8.20329642502404,4.73184952296669,8.22166887649372,4.4953640343846,8.21248265075888,4.49549497182298,8.21314399042818,2.57064355769635,0.0485328402875098
86,4.35392984319119,8.20985297313332,4.82094523894404,8.22825928188176,4.58743754106761,8.21905612750754,4.58530602292579,8.21757281294864,2.58202535173287,0.0564533831482627
87,4.4431922632275,8.20625491995007,4.91471569826174,8.22477571220889,4.67895398074462,8.21551531607948,4.6763647981652,8.21687693665075,2.59587166616882,0.0491717697456103
88,4.53450649174176,8.19746206988623,5.01129788980984,8.2148859436985,4.7729021907758,8.20617400679236,4.76947477775121,8.21043805684795,2.61422282986312,0.0263410574826488
89,4.62578973223817,8.20033965165455,5.09547339717584,8.21820883476032,4.860631564707,8.20927424320744,4.85927451267367,8.20997982489942,2.62149591832841,0.0225595089942791
