frame,x_measure,y_measure,x_front_measure,y_front_measure,x_mid_measure,y_mid_measure,x_mid_est,y_mid_est,vx_mid_est,vy_mid_est
179,1745.52789306641,416.768600463867,1720.35821533203,415.717010498047,1732.94305419922,416.242805480957,1732.94305419922,416.242805480957,-141.798919677734,-2.04423980712891
180,1740.98791503906,416.897705078125,1715.86657714844,415.778091430664,1728.42724609375,416.337898254395,1728.25735090679,416.262641025218,-141.79774798679,-2.04372079175528
181,1735.91949462891,416.894180297852,1710.90515136719,415.653686523438,1723.41232299805,416.273933410645,1723.394906168,416.241966886991,-141.791567487925,-2.03237721990177
182,1730.69848632813,416.968353271484,1705.77807617188,415.610382080078,1718.23828125,416.289367675781,1718.33941766355,416.244909986673,-141.875873420048,-1.99531789785661
183,1725.68310546875,417.371429443359,1700.77276611328,415.896499633789,1713.22793579102,416.633964538574,1713.30976507588,416.463049985938,-141.986020421959,-1.76525691679246
184,1720.86083984375,416.688705444336,1696.12908935547,415.091995239258,1708.49496459961,415.890350341797,1708.46495367384,416.079357429832,-141.930362449347,-2.1157876338552
185,1716.77252197266,415.950729370117,1692.12139892578,414.744720458984,1704.44696044922,415.347724914551,1704.12660563989,415.588560104165,-141.181370356429,-2.67886222322983
186,1711.75463867188,415.471862792969,1687.1865234375,414.157272338867,1699.47058105469,414.814567565918,1699.39365680599,415.061545021603,-140.967219644489,-3.36642692312513
187,1706.38995361328,415.325302124023,1682.04638671875,414.248138427734,1694.21817016602,414.786720275879,1694.33122349308,414.84377421687,-141.327381972735,-3.54818787395899
188,1701.79577636719,415.696823120117,1677.11065673828,414.90185546875,1689.45321655273,415.299339294434,1689.45487560001,415.093100810978,-141.333256837501,-2.81787523117723
189,1696.80615234375,415.929870605469,1672.39349365234,414.934997558594,1684.59982299805,415.432434082031,1684.59325867375,415.277617789716,-141.30798213773,-2.22178412873946
190,1692.56958007813,415.236709594727,1667.57916259766,414.039245605469,1680.07437133789,414.637977600098,1679.94954435497,414.836622643435,-140.794226700003,-3.03935552877793
191,1687.49566650391,415.271621704102,1662.92980957031,413.937072753906,1675.21273803711,414.604347229004,1675.17123143185,414.649121559914,-140.614047700449,-3.23371963294756
192,1682.77612304688,414.519149780273,1658.12878417969,413.505981445313,1670.45245361328,414.012565612793,1670.40696608155,414.196306995664,-140.407978302312,-4.06611204329937
193,1677.60205078125,415.072570800781,1653.37933349609,413.855026245117,1665.49069213867,414.463798522949,1665.51672488671,414.321562133391,-140.530019559071,-3.39930930277117
194,1673.36285400391,415.314407348633,1648.60260009766,413.829635620117,1660.98272705078,414.572021484375,1660.87420254004,414.444075196892,-140.007085603836,-2.78278997716509
195,1667.87384033203,414.804229736328,1643.59552001953,413.704055786133,1655.73468017578,414.25414276123,1655.84291779317,414.286776081655,-140.540272376687,-2.94354420683329
196,1663.40960693359,414.324584960938,1638.57867431641,413.057464599609,1650.994140625,413.691024780273,1650.99502839187,413.862363810678,-140.544723777361,-3.80266465605565
197,1658.27935791016,414.145065307617,1633.92803955078,413.218017578125,1646.10369873047,413.681541442871,1646.1192630238,413.698745296534,-140.623884532495,-3.89016429500678
198,1652.97521972656,414.340850830078,1628.58221435547,413.296020507813,1640.77871704102,413.818435668945,1640.94865424329,413.730662466609,-141.498134951723,-3.43861067454606
199,1648.31329345703,414.743408203125,1623.36456298828,413.581909179688,1635.83892822266,414.162658691406,1635.91855266745,413.972452366359,-141.911547699775,-2.45105315080592
200,1643.73834228516,414.188873291016,1619.34161376953,412.945510864258,1631.53997802734,413.567192077637,1631.36221725208,413.677916911327,-140.981770983403,-3.03019875891881
201,1638.77734375,413.842437744141,1614.40130615234,412.484848022461,1626.58932495117,413.163642883301,1626.55877514602,413.305021830857,-140.821030249575,-3.77407766963723
202,1633.92053222656,413.042404174805,1609.14868164063,412.122924804688,1621.53460693359,412.582664489746,1621.59263351252,412.786884997266,-141.127800105677,-4.85373283567512
203,1628.94128417969,412.881271362305,1604.17425537109,411.868453979492,1616.55776977539,412.374862670898,1616.61581408466,412.459195761516,-141.435839756447,-5.30128637037826
204,1623.30596923828,412.999450683594,1599.05114746094,411.88166809082,1611.17855834961,412.440559387207,1611.37158727808,412.383988001511,-142.463391527298,-5.00013965619236
205,1618.53680419922,413.223510742188,1593.81317138672,412.557113647461,1606.17498779297,412.890312194824,1606.27285231331,412.656478517399,-142.98564135524,-3.75229623576566
206,1613.38977050781,412.475631713867,1588.65875244141,411.233825683594,1601.02426147461,411.85472869873,1601.13381101909,412.086316250163,-143.571407654075,-4.99060519907351
207,1608.28601074219,412.187149047852,1583.59545898438,411.362869262695,1595.94073486328,411.775009155273,1596.02419196006,411.822953226178,-144.01836739689,-5.24737269313415
208,1604.03393554688,411.683364868164,1579.43121337891,410.717391967773,1591.73257446289,411.200378417969,1591.50030734549,411.352448554854,-142.772854871965,-6.06283577837015
209,1598.40991210938,411.207122802734,1573.7548828125,410.179412841797,1586.08239746094,410.693267822266,1586.25272594197,410.848243725818,-143.687165073543,-6.89473452341956
210,1593.66339111328,411.858261108398,1568.96356201172,410.765411376953,1581.3134765625,411.311836242676,1581.30814708198,411.070384070673,-143.658533230841,-5.59756858210554
211,1588.59356689453,411.969284057617,1563.79760742188,410.870162963867,1576.1955871582,411.419723510742,1576.25025973817,411.233017465941,-143.952448132816,-4.5938535775291
212,1582.64685058594,411.383819580078,1558.34008789063,410.322875976563,1570.49346923828,410.85334777832,1570.76641294193,410.929512229,-145.420549706582,-5.00352468703115
