frame,x_measure,y_measure,x_est,y_est,vx_est,vy_est
35,19.3859826294468,16.010207095821,19.3859826294468,16.010207095821,0.179340821418868,-1.31384170456239
36,19.3961985700907,15.9706543053849,19.3942751605582,15.9687064245295,0.179353656984651,-1.31382870569115
37,19.4004590791733,15.9168122011411,19.4003808637602,15.9199709846994,0.179364855280429,-1.31428095661174
38,19.4062053749081,15.8800760368539,19.4062665410133,15.8785656893116,0.179344702527873,-1.31378333361994
39,19.4101808876698,15.8378992060407,19.4109647968202,15.8366985578028,0.178928336956249,-1.3131456212146
40,19.4159026864069,15.7910142855837,19.4162918813766,15.7917188669052,0.178641699800846,-1.31366453641506
41,19.4209840636339,15.7380284461878,19.4214602958008,15.7417293376087,0.178194222076448,-1.31714197155374
42,19.418919316689,15.6921164064947,19.4220927762026,15.6942344500048,0.174585566723911,-1.31955047527566
43,19.414127237339,15.6364872243999,19.419264404003,15.6415973090963,0.167768958052899,-1.32633114834502
44,19.4390628479005,15.5916612182693,19.4337922412194,15.5937696755791,0.175714790864783,-1.32950980505168
45,19.4404895792905,15.543426101313,19.4401809747291,15.5456388619807,0.176232677215759,-1.33322316088287
46,19.4421984635999,15.4865574331086,19.4436227252531,15.4919392007633,0.173614809618356,-1.343115132016
47,19.447530643422,15.4366733802249,19.448223620221,15.4405151944094,0.172237910942671,-1.35074856053847
48,19.4699186391355,15.3935161409246,19.4640718372324,15.3942233555546,0.184660614959739,-1.3522511799483
49,19.4710337628827,15.3346340528181,19.4707410545979,15.3399253866332,0.185319635358665,-1.36416439560546
50,19.4825683492054,15.2833163423099,19.480509150234,15.2873631546258,0.190194736277642,-1.37374512030196
51,19.491030385016,15.2353495258041,19.4895102352182,15.2375983253423,0.193954297050682,-1.37930674228282
52,19.4970263168221,15.1819973979672,19.4966467402185,15.1854782073359,0.1949294257547,-1.38824890862503
53,19.4962120103734,15.1423629508723,19.4987294340569,15.1411998049237,0.188244247865055,-1.38516010095673
54,19.4928162598895,15.0998035002862,19.497233583852,15.0980567798506,0.176169555198622,-1.38038546531463
55,19.5079612370564,15.0536593223772,19.5062069420691,15.0530582913351,0.181087540011934,-1.37870053686247
56,19.5157256187881,15.021375779044,19.514469570382,15.0162017713304,0.184687297155017,-1.3638721503651
57,19.5139326718648,14.9799280255419,19.5163505553303,14.9765952704528,0.177622864343378,-1.35413469827506
58,19.5076311108499,14.9282568583533,19.5129120108507,14.929394590902,0.161931091115789,-1.35751537981501
59,19.5149592127187,14.8707110778233,19.5161681982842,14.8755340823849,0.158285330762538,-1.3720594069038
60,19.518867869091,14.8121947860306,19.5197972662275,14.8185154212655,0.155446311816058,-1.39136698003949
61,19.5168486165703,14.7516393743605,19.5197752332131,14.7589963046129,0.146405008698415,-1.41409501194303
62,19.512586138979,14.710617402008,19.5169270993013,14.7110471132339,0.132861356947752,-1.41543569666818
63,19.511794433927,14.6572372411485,19.5152317775675,14.6596021968922,0.122043997600229,-1.42287823916478
64,19.515405991295,14.6194418733438,19.5168060328747,14.616814032163,0.117604657350461,-1.41454571440819
65,19.5009305987305,14.5661340734073,19.5080390890731,14.5673839189698,0.0949152209788613,-1.41853506939024
66,19.5091790877968,14.5092590440034,19.5099065704405,14.5131326084198,0.0925797266050848,-1.43097067590039
67,19.5170484566613,14.4681950767978,19.5155943853003,14.4671871746686,0.097271507594461,-1.42771852736348
68,19.5162598866417,14.4207315605868,19.5171853317023,14.4203073684452,0.0942721811604867,-1.42634373942899
69,19.5103572767314,14.3872394987028,19.5139337570434,14.3820310880957,0.082636022051061,-1.409398058412
70,19.5264972986125,14.3478821556669,19.5229815833429,14.3432651527257,0.0941132744847192,-1.39432558974493
71,19.536184111398,14.2978476212261,19.5325772823102,14.297450991344,0.105922903160696,-1.39302692781345
72,19.5303048319617,14.2376619975682,19.5323859212767,14.2424315731295,0.0990912333220326,-1.40868419214615
73,19.5375560161742,14.2077891301371,19.536888161288,14.2033597994011,0.101288601831825,-1.39411085880598
74,19.5176468833182,14.1499090858868,19.5257518424351,14.1523934404594,0.0745688117637684,-1.40230108304725
75,19.5452071721995,14.1120740562764,19.5391285872378,14.109755870348,0.0946430155942603,-1.39464539720327
76,19.5603544824138,14.0635175073606,19.5538821754652,14.0634113482994,0.116049939071842,-1.39429427990961
77,19.559871541603,14.0218831100668,19.5591131963037,14.0200940395018,0.118561472430296,-1.38836912891455
78,19.5413214817625,13.9641390205082,19.5491107046055,13.9675880283845,0.0927346668494419,-1.39980503948814
79,19.5610202029065,13.9227006356495,19.5578631154712,13.92204900749,0.103213299890426,-1.39764223199484
80,19.5581412224207,13.856463087048,19.5592749481231,13.8632498737375,0.0994470232241968,-1.42018817612615
81,19.5759684021072,13.8087207352193,19.5711787175755,13.8112783444566,0.115370907182093,-1.42869125653469
82,19.5847593976006,13.7727574475626,19.5812748219732,13.7694810333035,0.126963686457499,-1.41779100600734
83,19.5885156039072,13.7358743012895,19.5874398056461,13.7309686226495,0.13054487422278,-1.40146066140538
84,19.595118128036,13.7024732282539,19.5939284857608,13.6959326541476,0.134507096710673,-1.37967662569278
85,19.5904752908115,13.6640787958497,19.5933186484696,13.6590011605448,0.125032693542837,-1.36275734581201
86,19.5943668867747,13.6141347216763,19.5954852921231,13.6139183665689,0.12130454907273,-1.36203613762182
87,19.5949734061898,13.5558008997076,19.5966058226886,13.5603374538254,0.115861077852146,-1.37716377312356
88,19.5990189103733,13.506610928424,19.5995390537014,13.5093946114893,0.114126073827081,-1.38644910095837
