frame,x_measure,y_measure,x_est,y_est,vx_est,vy_est
103,20.8875100871446,19.0181982132074,20.8875100871446,19.0181982132074,0.452007181651306,-1.5221771319757
104,20.9115124071415,18.9697474393981,20.907458121143,18.9686842497556,0.452034237280259,-1.52217003694972
105,20.9330515698245,18.9285307190108,20.9289303948465,18.9243602562997,0.452624276180767,-1.52157294140154
106,20.9578181342863,18.8850620623516,20.9525581644262,18.8806848440254,0.45435730905255,-1.5201307538134
107,20.9625636586694,18.8205124231444,20.9645160174543,18.8240917498741,0.453320333044422,-1.52203187771156
108,20.96292002736,18.7642480744059,20.9692240754222,18.7676630898629,0.448677481659851,-1.52454699325101
109,20.9834531219211,18.7376995137639,20.9837316302329,18.7298509759331,0.448415789413396,-1.51717234262319
110,20.9921339554822,18.6847626218913,20.9945868848198,18.6826930285945,0.445626474929914,-1.51481893338757
111,21.0145873784425,18.6397173864791,21.0126759053657,18.6368979491642,0.448162846591884,-1.51107776591041
112,21.0183174420109,18.5933845885247,21.0217737053145,18.5908212728822,0.442952271789827,-1.50721337633037
113,21.0169426916072,18.5510526385984,21.0241965479523,18.5471606225114,0.430779175010129,-1.50068196927719
114,21.0149853460713,18.5052688358997,21.0236813490666,18.5022524051526,0.41479546554448,-1.49513761140259
115,21.0141144029075,18.4570741656949,21.0227193976858,18.4553428335543,0.397697914902366,-1.49169756992493
116,21.0132308216083,18.4042688287935,21.0215744408715,18.4047457892239,0.379970221326333,-1.49271096807896
117,21.0130622113187,18.360763708632,21.0208115604632,18.3586336072721,0.362522887480683,-1.48791513440866
118,21.0136633436556,18.3074620862811,21.0206848785221,18.3080183909886,0.345899583197903,-1.4892321715811
119,21.0123706647685,18.262869551933,21.0196001828694,18.2612158276119,0.328019889566521,-1.48514226077379
120,21.011227047152,18.2086198021565,21.0182475578748,18.2097252171531,0.309984263929061,-1.48798206144347
121,21.0073919839694,18.1762060776087,21.0150828739722,18.1703541515839,0.289560618860913,-1.47244190158533
122,21.0010859935013,18.1423681764751,21.0096562147478,18.1347086456891,0.266134040119543,-1.45150468235616
123,20.9869276164285,18.0890482269189,20.9983620588937,18.0880456335247,0.234078761617456,-1.44869401532338
124,20.9858988492991,18.0493148456272,20.9932238993128,18.0458436235896,0.213085620762692,-1.43874570738853
125,20.9846697047241,18.0159996516641,20.9903231441135,18.0094446212759,0.196567726790303,-1.4195935967033
126,20.9792120920482,17.9740747566059,20.985583248603,17.9697489402048,0.177636343154817,-1.40673977822892
127,20.9797414428306,17.9363142035206,20.9839812788546,17.9314494730287,0.164850891846026,-1.39206992437536
128,20.9826934019851,17.894731225388,20.9851371058464,17.8912284097711,0.157386137233551,-1.38136991303294
129,20.9853300759343,17.8661163487013,20.9871498125585,17.858569126312,0.151764358769911,-1.35805400471744
130,20.9854156028928,17.8157702936735,20.9878596862119,17.8148661064032,0.144138900146189,-1.35523297052271
131,20.990285695,17.7823864490536,20.9911421483324,17.7778085055558,0.141443631814145,-1.34082613051311
132,21.0026822740002,17.7218067116245,21.0002325126706,17.725851989369,0.149211489733459,-1.3536531526333
133,20.9975677618819,17.668881407891,21.0003119384395,17.6731191928688,0.140452412011678,-1.3671796467234
134,21.0044152639968,17.622473296577,21.0046245383077,17.6242776835309,0.139780562339623,-1.37297241114878
135,21.002516107338,17.5701332034207,21.0049459351418,17.573122900378,0.13194035572859,-1.38261912019233
136,21.0011354578651,17.5307969115793,21.0040812730679,17.5294312488238,0.122393099189145,-1.37819306771605
137,21.0031880475965,17.477074756228,21.0049728007861,17.4793592677128,0.116586364558304,-1.38562577719724
138,21.0114304027685,17.4286982648731,21.0105099084097,17.430285510364,0.119591370740681,-1.3908074303677
139,21.0204693804683,17.3990497338023,21.0183297524721,17.3936117246691,0.126597029041905,-1.37300207640241
140,21.0183238756236,17.3463846763854,21.0198398724801,17.3468916211489,0.1216204093816,-1.37466624296449
141,21.0252613337717,17.3086110842571,21.0247727770234,17.3058921669417,0.123227853208403,-1.36572049230302
142,21.0215714564192,17.273553583968,21.024191673652,17.2688129888431,0.114589727663148,-1.35009207213369
143,21.0246821940813,17.2402835971115,21.0258762430113,17.2343656855054,0.110646444521351,-1.33054848352216
144,21.0177694585697,17.1816337335011,21.021995984878,17.1846198332889,0.0966673600962651,-1.34042490164639
145,21.0194889131614,17.1356987313579,21.0215422493628,17.1372015317485,0.0898669983474627,-1.34540196594092
146,20.983072985136,17.0809606761028,20.9979252165228,17.0850255480658,0.0406213033402262,-1.35887990334457
147,20.9869324464108,17.0362760666384,20.991354811714,17.0374966568961,0.0259431089176877,-1.36293114287019
148,20.9861309366283,16.9873265446615,20.9883117055302,16.9890074106137,0.0186985179094203,-1.36851503869368
149,20.9866514292614,16.9495908287576,20.98746939779,16.9473540409997,0.0159790828728581,-1.36107856799094
150,20.9817079710601,16.9078011350209,20.9839619731889,16.9057021127978,0.00848027901286992,-1.35409536431625
151,20.9685514812155,16.8561452957143,20.9741708593505,16.8577119028336,-0.0102258752478441,-1.35931038877891
152,20.9654627361999,16.8044039294493,20.9684585913581,16.8072513159262,-0.0202038702519749,-1.3687938940021
153,20.959634684885,16.7652838986314,20.9625527018812,16.7639574280659,-0.0299270471426737,-1.36437393758453
154,20.9409678152855,16.7144650017045,20.9483385369663,16.7158856214169,-0.0544969540325771,-1.36910949748906
155,20.9386624819372,16.6879758517533,20.9414757777116,16.681612590849,-0.0638781962551049,-1.34789050856852
156,20.942668579946,16.6351375258821,20.9414784318335,16.635674708516,-0.0599083063153452,-1.34968234935825
