frame,x_measure,y_measure,x_est,y_est,vx_est,vy_est
129,13.3364452492773,10.647228330758,13.3364452492773,10.647228330758,1.05263259556566,0.107799182980307
130,13.382181759254,10.651501572191,13.3773578684393,10.6511941767439,1.05266478702922,0.107801234334642
131,13.4090285444756,10.6408831340505,13.4103825684173,10.6463364468551,1.05247092804433,0.107020469938915
132,13.4641166176365,10.632829634258,13.4570131399283,10.6393459425102,1.05481135217217,0.104873503947853
133,13.4937225681635,10.6507317252249,13.4931492144538,10.6477448102054,1.05511588330947,0.106459974240749
134,13.5120596295852,10.6652128457697,13.5182028988313,10.6599666392719,1.05059144348231,0.110323738739665
135,13.5697749470016,10.645789262995,13.5635738839236,10.6524938650589,1.05641809230617,0.104023954131907
136,13.62773789137,10.6264281635362,13.6169257184875,10.6374728531322,1.06871300433475,0.0914646389562389
137,13.6607512228186,10.631726010714,13.657709321596,10.6350035722806,1.0727493635979,0.0871155772931698
138,13.7027917435305,10.6366363619836,13.6993443370713,10.6371092024079,1.07794658604624,0.0864027350748304
139,13.7359790773538,10.6434294799752,13.7357322796627,10.6421580572308,1.07836075087607,0.0885363797707412
140,13.7637445198921,10.6260916903473,13.7666828137816,10.6331047685708,1.0729600126427,0.0756459742770891
141,13.8200723599722,10.6246373654429,13.8136065064027,10.6286780469725,1.08580723239087,0.0676174096049804
142,13.8829659866381,10.6375216664798,13.8708201029458,10.6351065991653,1.11161359980963,0.0727487047858347
143,13.9079610161645,10.6614335099351,13.9079427182262,10.6526935057135,1.11165479684855,0.0924264568943492
144,13.9745555640549,10.6584495324263,13.9637846500129,10.657474601568,1.13715466047217,0.0947345807761475
145,13.9952267197281,10.6761087509922,13.9975937582575,10.6704749368832,1.1313006155513,0.108667856665295
146,14.0410594206587,10.6777473679711,14.0389814427632,10.6764221534351,1.1366389211085,0.112072320272657
147,14.0833456877911,10.6934967117779,14.0810098549104,10.6886587514895,1.14284187313052,0.124919829955991
148,14.1067721767436,10.6942674457871,14.1112533562157,10.6937456188114,1.13059263233023,0.126346236624524
149,14.1612880006594,10.6961329329095,14.1568346671633,10.6967943736664,1.14307709284622,0.124491955776308
150,14.1983890041244,10.7013557007592,14.197155630242,10.7012084885441,1.14661186620519,0.124913856891278
151,14.2218503361299,10.6968099951674,14.2267457768425,10.6999017630882,1.13230864916001,0.115880507245975
152,14.2617397418409,10.6827830761718,14.2627447976635,10.690349642441,1.12932220593143,0.0933970589718303
153,14.3187246679683,10.7011174055006,14.3121326572558,10.6983609365462,1.14920076527075,0.101709337890687
154,14.3588366150524,10.7141678674511,14.3558275547351,10.7096993304908,1.15839250787052,0.115359327324347
155,14.3995826560266,10.7318249216318,14.3977467742923,10.7252501695507,1.16406416400924,0.135670947787134
156,14.4163417032539,10.7410823872839,14.4236206695277,10.7370178372742,1.14135403145831,0.148352208560718
157,14.4780514112343,10.7387320424027,14.4721771511794,10.739894789698,1.15984039434736,0.144693029660078
158,14.5095297678198,10.7439606647368,14.5100137241732,10.7442343716069,1.15830583498156,0.143825142632704
159,14.5655977042714,10.7467992026589,14.559517592441,10.7476013111523,1.17771281225239,0.141264909904315
160,14.5931257385944,10.7537070330643,14.5951672188256,10.7532073878392,1.17115888875336,0.142868960010498
161,14.6376534217152,10.7628810811832,14.6364305170257,10.76112067463,1.17510477554283,0.148549177791888
162,14.6887845730128,10.7691553854061,14.6840698120971,10.7680513214263,1.19038510675367,0.152127400227985
163,14.7097080037439,10.7718724339051,14.7147573838569,10.7723224258238,1.1739568350247,0.150663341402656
164,14.7807463891964,10.7579806293146,14.7711316803784,10.7649247373252,1.20534459874243,0.127993905895565
165,14.7979682600319,10.757888518759,14.8027649704307,10.7619415019605,1.18963901156358,0.114723461004749
166,14.8410027657606,10.7486768954943,14.8415247747456,10.7548027205147,1.18792539311726,0.0946139857764341
167,14.8796705357134,10.7576195318092,14.8802049598532,10.757741419368,1.18616703692336,0.0942129527239105
168,14.9333826985801,10.760750971363,14.9285101593715,10.7607989911829,1.20223043994277,0.0940546447685691
169,14.9544809832471,10.762048750901,14.9595480087361,10.7627253269334,1.1854968575185,0.0918202883735848
170,15.0038997155798,10.7682345282225,15.0021818400987,10.7673585152607,1.19117866915999,0.09471766987718
171,15.0276957466879,10.7829040922037,15.0327934252921,10.7784678583588,1.1742958720005,0.109409854687471
172,15.0823035392324,10.7916286223609,15.0786045290735,10.7882224523719,1.18656071769077,0.120703727241189
173,15.1317372448526,10.7883654391657,15.1268876439048,10.7897566308811,1.20265694238142,0.116086247436103
174,15.171695910889,10.8138555097057,15.1700200672245,10.8066123891322,1.2082241539883,0.140148148783278
175,15.2104376247547,10.8084304605474,15.2104007028942,10.8094539882386,1.20834690516699,0.136745307515835
176,15.2264407693334,10.8142508470748,15.2351345363031,10.8141670124444,1.17942375000371,0.13702421561535
177,15.2413693499,10.8215026018312,15.2532282012443,10.8205130555583,1.13994722835444,0.140318282108788
178,15.3076367208131,10.8451101540214,15.3017744835769,10.8379793483962,1.15947199532958,0.164068142881595
179,15.3535766120319,10.8553903448868,15.3488810234688,10.8511164629296,1.17511825039407,0.178309221783211
180,15.369134212602,10.8433048439029,15.3759214401402,10.8482319044504,1.15249339005081,0.161885128711262
181,15.4077201616992,10.8627329328566,15.4101032852663,10.8594750388697,1.14454660406713,0.172748932263186
182,15.4208295233116,10.8650663529555,15.4306621361232,10.865128200903,1.11174867726085,0.172542630591931
183,15.4747200173232,10.8609332998141,15.4722273146286,10.8644963284768,1.12006562266951,0.160654524183609
